2026-02-07 10:36:11,388 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 2
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
notifications:
  enabled: true
  title: binary class experiment [2, 6]

2026-02-07 10:36:11,392 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-07 10:36:11,654 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /teamspace/studios/this_studio/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-07 10:36:15,052 - __main__ - INFO - Starting Task: Standard Training
2026-02-07 10:36:15,053 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-07 10:36:15,054 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-07 10:36:15,054 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-07 10:36:15,067 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-07 10:36:15,069 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-07 10:36:15,075 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-07 10:39:22,466 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 0.9575 | Acc: 0.5680 | Grad: 9.36e-01 | Val Loss: 0.9666 | Val Acc: 0.5750 | LR: 5.00e-02
2026-02-07 11:17:31,318 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.9326 | Acc: 0.6250 | Grad: 8.76e-01 | Val Loss: 0.9517 | Val Acc: 0.6050 | LR: 5.00e-02
2026-02-07 11:20:54,741 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.9299 | Acc: 0.6300 | Grad: 9.45e-01 | Val Loss: 0.9527 | Val Acc: 0.5950 | LR: 5.00e-02
2026-02-07 11:24:11,578 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.9284 | Acc: 0.6290 | Grad: 8.18e-01 | Val Loss: 0.9554 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-07 11:27:26,004 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.9269 | Acc: 0.6220 | Grad: 8.26e-01 | Val Loss: 0.9582 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-07 11:30:51,345 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.9250 | Acc: 0.6360 | Grad: 8.09e-01 | Val Loss: 0.9584 | Val Acc: 0.5750 | LR: 2.50e-02
2026-02-07 11:34:21,146 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.9239 | Acc: 0.6260 | Grad: 7.84e-01 | Val Loss: 0.9571 | Val Acc: 0.5750 | LR: 2.50e-02
2026-02-07 11:37:38,554 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 0.9217 | Acc: 0.6340 | Grad: 7.42e-01 | Val Loss: 0.9523 | Val Acc: 0.5700 | LR: 2.50e-02
2026-02-07 11:41:04,352 - training.engines.hybrid - INFO - Epoch 19/100, Loss: 0.9216 | Acc: 0.6350 | Grad: 7.67e-01 | Val Loss: 0.9535 | Val Acc: 0.5750 | LR: 2.50e-02
2026-02-07 11:44:26,867 - training.engines.hybrid - INFO - Epoch 20/100, Loss: 0.9204 | Acc: 0.6320 | Grad: 6.78e-01 | Val Loss: 0.9549 | Val Acc: 0.5750 | LR: 1.25e-02
2026-02-07 11:47:52,654 - training.engines.hybrid - INFO - Epoch 21/100, Loss: 0.9196 | Acc: 0.6310 | Grad: 7.57e-01 | Val Loss: 0.9497 | Val Acc: 0.5950 | LR: 1.25e-02
2026-02-07 11:51:22,043 - training.engines.hybrid - INFO - Epoch 22/100, Loss: 0.9201 | Acc: 0.6380 | Grad: 7.31e-01 | Val Loss: 0.9515 | Val Acc: 0.5700 | LR: 1.25e-02
2026-02-07 11:54:51,496 - training.engines.hybrid - INFO - Epoch 23/100, Loss: 0.9171 | Acc: 0.6350 | Grad: 8.43e-01 | Val Loss: 0.9470 | Val Acc: 0.5800 | LR: 1.25e-02
2026-02-07 11:58:15,499 - training.engines.hybrid - INFO - Epoch 24/100, Loss: 0.9155 | Acc: 0.6280 | Grad: 8.33e-01 | Val Loss: 0.9498 | Val Acc: 0.5900 | LR: 1.25e-02
2026-02-07 12:01:36,511 - training.engines.hybrid - INFO - Epoch 25/100, Loss: 0.9154 | Acc: 0.6400 | Grad: 7.57e-01 | Val Loss: 0.9511 | Val Acc: 0.5950 | LR: 1.25e-02
2026-02-07 12:04:57,833 - training.engines.hybrid - INFO - Epoch 26/100, Loss: 0.9144 | Acc: 0.6440 | Grad: 8.08e-01 | Val Loss: 0.9511 | Val Acc: 0.5800 | LR: 1.25e-02
2026-02-07 12:08:26,754 - training.engines.hybrid - INFO - Epoch 27/100, Loss: 0.9149 | Acc: 0.6290 | Grad: 7.56e-01 | Val Loss: 0.9458 | Val Acc: 0.5900 | LR: 1.25e-02
2026-02-07 12:11:50,909 - training.engines.hybrid - INFO - Epoch 28/100, Loss: 0.9107 | Acc: 0.6400 | Grad: 7.87e-01 | Val Loss: 0.9467 | Val Acc: 0.5850 | LR: 1.25e-02
2026-02-07 12:15:15,986 - training.engines.hybrid - INFO - Epoch 29/100, Loss: 0.9116 | Acc: 0.6440 | Grad: 7.41e-01 | Val Loss: 0.9424 | Val Acc: 0.5850 | LR: 1.25e-02
2026-02-07 12:18:49,380 - training.engines.hybrid - INFO - Epoch 30/100, Loss: 0.9103 | Acc: 0.6420 | Grad: 8.84e-01 | Val Loss: 0.9472 | Val Acc: 0.5900 | LR: 1.25e-02
2026-02-07 12:22:05,534 - training.engines.hybrid - INFO - Epoch 31/100, Loss: 0.9087 | Acc: 0.6430 | Grad: 8.24e-01 | Val Loss: 0.9466 | Val Acc: 0.5850 | LR: 1.25e-02
2026-02-07 12:25:33,799 - training.engines.hybrid - INFO - Epoch 32/100, Loss: 0.9076 | Acc: 0.6390 | Grad: 8.37e-01 | Val Loss: 0.9440 | Val Acc: 0.5950 | LR: 1.25e-02
2026-02-07 12:29:01,216 - training.engines.hybrid - INFO - Epoch 33/100, Loss: 0.9080 | Acc: 0.6470 | Grad: 7.56e-01 | Val Loss: 0.9420 | Val Acc: 0.6050 | LR: 1.25e-02
2026-02-07 12:32:28,858 - training.engines.hybrid - INFO - Epoch 34/100, Loss: 0.9059 | Acc: 0.6450 | Grad: 8.39e-01 | Val Loss: 0.9430 | Val Acc: 0.6000 | LR: 1.25e-02
2026-02-07 12:35:51,907 - training.engines.hybrid - INFO - Epoch 35/100, Loss: 0.9051 | Acc: 0.6500 | Grad: 7.77e-01 | Val Loss: 0.9414 | Val Acc: 0.5950 | LR: 1.25e-02
2026-02-07 12:39:16,928 - training.engines.hybrid - INFO - Epoch 36/100, Loss: 0.9037 | Acc: 0.6480 | Grad: 8.66e-01 | Val Loss: 0.9361 | Val Acc: 0.5900 | LR: 1.25e-02
2026-02-07 12:42:43,580 - training.engines.hybrid - INFO - Epoch 37/100, Loss: 0.9031 | Acc: 0.6470 | Grad: 7.88e-01 | Val Loss: 0.9418 | Val Acc: 0.6100 | LR: 1.25e-02
2026-02-07 12:46:05,136 - training.engines.hybrid - INFO - Epoch 38/100, Loss: 0.9015 | Acc: 0.6430 | Grad: 8.53e-01 | Val Loss: 0.9370 | Val Acc: 0.6150 | LR: 1.25e-02
2026-02-07 12:49:23,674 - training.engines.hybrid - INFO - Epoch 39/100, Loss: 0.9003 | Acc: 0.6450 | Grad: 7.83e-01 | Val Loss: 0.9393 | Val Acc: 0.5800 | LR: 1.25e-02
2026-02-07 12:52:49,868 - training.engines.hybrid - INFO - Epoch 40/100, Loss: 0.9000 | Acc: 0.6520 | Grad: 7.93e-01 | Val Loss: 0.9376 | Val Acc: 0.5900 | LR: 6.25e-03
2026-02-07 12:56:16,879 - training.engines.hybrid - INFO - Epoch 41/100, Loss: 0.8987 | Acc: 0.6470 | Grad: 7.95e-01 | Val Loss: 0.9365 | Val Acc: 0.5950 | LR: 6.25e-03
2026-02-07 12:59:37,838 - training.engines.hybrid - INFO - Epoch 42/100, Loss: 0.8963 | Acc: 0.6550 | Grad: 8.44e-01 | Val Loss: 0.9367 | Val Acc: 0.6150 | LR: 6.25e-03
2026-02-07 13:03:01,630 - training.engines.hybrid - INFO - Epoch 43/100, Loss: 0.8993 | Acc: 0.6500 | Grad: 8.08e-01 | Val Loss: 0.9315 | Val Acc: 0.6100 | LR: 6.25e-03
2026-02-07 13:06:22,713 - training.engines.hybrid - INFO - Epoch 44/100, Loss: 0.8961 | Acc: 0.6560 | Grad: 9.09e-01 | Val Loss: 0.9350 | Val Acc: 0.6250 | LR: 6.25e-03
2026-02-07 13:09:46,636 - training.engines.hybrid - INFO - Epoch 45/100, Loss: 0.8967 | Acc: 0.6580 | Grad: 8.23e-01 | Val Loss: 0.9358 | Val Acc: 0.6050 | LR: 6.25e-03
2026-02-07 13:13:11,811 - training.engines.hybrid - INFO - Epoch 46/100, Loss: 0.8962 | Acc: 0.6550 | Grad: 9.08e-01 | Val Loss: 0.9353 | Val Acc: 0.6150 | LR: 6.25e-03
2026-02-07 13:16:30,221 - training.engines.hybrid - INFO - Epoch 47/100, Loss: 0.8940 | Acc: 0.6550 | Grad: 7.89e-01 | Val Loss: 0.9334 | Val Acc: 0.6150 | LR: 3.13e-03
2026-02-07 13:19:54,715 - training.engines.hybrid - INFO - Epoch 48/100, Loss: 0.8933 | Acc: 0.6620 | Grad: 8.36e-01 | Val Loss: 0.9334 | Val Acc: 0.5950 | LR: 3.13e-03
2026-02-07 13:23:12,181 - training.engines.hybrid - INFO - Epoch 49/100, Loss: 0.8943 | Acc: 0.6570 | Grad: 8.54e-01 | Val Loss: 0.9321 | Val Acc: 0.6050 | LR: 3.13e-03
2026-02-07 13:26:42,592 - training.engines.hybrid - INFO - Epoch 50/100, Loss: 0.8942 | Acc: 0.6630 | Grad: 8.57e-01 | Val Loss: 0.9318 | Val Acc: 0.5950 | LR: 3.13e-03
2026-02-07 13:30:05,132 - training.engines.hybrid - INFO - Epoch 51/100, Loss: 0.8942 | Acc: 0.6550 | Grad: 8.28e-01 | Val Loss: 0.9336 | Val Acc: 0.6050 | LR: 1.56e-03
2026-02-07 13:33:31,321 - training.engines.hybrid - INFO - Epoch 52/100, Loss: 0.8927 | Acc: 0.6620 | Grad: 8.89e-01 | Val Loss: 0.9321 | Val Acc: 0.6050 | LR: 1.56e-03
2026-02-07 13:37:00,004 - training.engines.hybrid - INFO - Epoch 53/100, Loss: 0.8937 | Acc: 0.6510 | Grad: 7.42e-01 | Val Loss: 0.9367 | Val Acc: 0.5950 | LR: 1.56e-03
2026-02-07 13:40:25,665 - training.engines.hybrid - INFO - Epoch 54/100, Loss: 0.8926 | Acc: 0.6620 | Grad: 7.75e-01 | Val Loss: 0.9316 | Val Acc: 0.6200 | LR: 1.56e-03
2026-02-07 13:43:51,821 - training.engines.hybrid - INFO - Epoch 55/100, Loss: 0.8914 | Acc: 0.6570 | Grad: 8.91e-01 | Val Loss: 0.9308 | Val Acc: 0.6200 | LR: 1.56e-03
2026-02-07 13:47:20,596 - training.engines.hybrid - INFO - Epoch 56/100, Loss: 0.8928 | Acc: 0.6540 | Grad: 8.21e-01 | Val Loss: 0.9321 | Val Acc: 0.6000 | LR: 1.56e-03
2026-02-07 13:50:51,432 - training.engines.hybrid - INFO - Epoch 57/100, Loss: 0.8920 | Acc: 0.6570 | Grad: 8.18e-01 | Val Loss: 0.9363 | Val Acc: 0.6200 | LR: 1.56e-03
2026-02-07 13:54:11,220 - training.engines.hybrid - INFO - Epoch 58/100, Loss: 0.8932 | Acc: 0.6630 | Grad: 8.41e-01 | Val Loss: 0.9314 | Val Acc: 0.5950 | LR: 1.56e-03
2026-02-07 13:57:45,441 - training.engines.hybrid - INFO - Epoch 59/100, Loss: 0.8932 | Acc: 0.6640 | Grad: 8.76e-01 | Val Loss: 0.9341 | Val Acc: 0.6150 | LR: 7.81e-04
2026-02-07 14:01:22,197 - training.engines.hybrid - INFO - Epoch 60/100, Loss: 0.8929 | Acc: 0.6540 | Grad: 9.33e-01 | Val Loss: 0.9345 | Val Acc: 0.5850 | LR: 7.81e-04
2026-02-07 14:04:53,322 - training.engines.hybrid - INFO - Epoch 61/100, Loss: 0.8930 | Acc: 0.6580 | Grad: 8.08e-01 | Val Loss: 0.9317 | Val Acc: 0.6150 | LR: 7.81e-04
2026-02-07 14:08:14,487 - training.engines.hybrid - INFO - Epoch 62/100, Loss: 0.8937 | Acc: 0.6600 | Grad: 7.51e-01 | Val Loss: 0.9350 | Val Acc: 0.6200 | LR: 7.81e-04
2026-02-07 14:11:36,707 - training.engines.hybrid - INFO - Epoch 63/100, Loss: 0.8924 | Acc: 0.6580 | Grad: 7.97e-01 | Val Loss: 0.9327 | Val Acc: 0.6100 | LR: 3.91e-04
2026-02-07 14:14:57,153 - training.engines.hybrid - INFO - Epoch 64/100, Loss: 0.8925 | Acc: 0.6570 | Grad: 7.44e-01 | Val Loss: 0.9355 | Val Acc: 0.6000 | LR: 3.91e-04
2026-02-07 14:18:17,142 - training.engines.hybrid - INFO - Epoch 65/100, Loss: 0.8940 | Acc: 0.6470 | Grad: 8.61e-01 | Val Loss: 0.9334 | Val Acc: 0.6200 | LR: 3.91e-04
2026-02-07 14:21:45,609 - training.engines.hybrid - INFO - Epoch 66/100, Loss: 0.8932 | Acc: 0.6630 | Grad: 8.70e-01 | Val Loss: 0.9307 | Val Acc: 0.6200 | LR: 3.91e-04
2026-02-07 14:25:15,708 - training.engines.hybrid - INFO - Epoch 67/100, Loss: 0.8919 | Acc: 0.6560 | Grad: 8.64e-01 | Val Loss: 0.9331 | Val Acc: 0.6100 | LR: 1.95e-04
2026-02-07 14:28:37,676 - training.engines.hybrid - INFO - Epoch 68/100, Loss: 0.8922 | Acc: 0.6600 | Grad: 8.31e-01 | Val Loss: 0.9354 | Val Acc: 0.6200 | LR: 1.95e-04
2026-02-07 14:32:04,072 - training.engines.hybrid - INFO - Epoch 69/100, Loss: 0.8903 | Acc: 0.6650 | Grad: 8.69e-01 | Val Loss: 0.9315 | Val Acc: 0.6100 | LR: 1.95e-04
2026-02-07 14:35:39,968 - training.engines.hybrid - INFO - Epoch 70/100, Loss: 0.8922 | Acc: 0.6520 | Grad: 8.39e-01 | Val Loss: 0.9279 | Val Acc: 0.6100 | LR: 1.95e-04
2026-02-07 14:39:20,940 - training.engines.hybrid - INFO - Epoch 71/100, Loss: 0.8930 | Acc: 0.6590 | Grad: 8.07e-01 | Val Loss: 0.9334 | Val Acc: 0.6300 | LR: 1.95e-04
